event_type,message,service,timestamp
cred_stuffing,credential_stuffing multiple_usernames=25 attempts=125 source_ip=203.0.113.55 common_password_attempts=125,web-portal,1786730580.6681128
cred_stuffing,credential_stuffing multiple_usernames=25 attempts=125 source_ip=203.0.113.55 common_password_attempts=125,web-portal,1786730579.9935322
cred_stuffing,credential_stuffing multiple_usernames=25 attempts=125 source_ip=203.0.113.55 common_password_attempts=125,web-portal,1786730579.374388
cred_stuffing,credential_stuffing multiple_usernames=25 attempts=125 source_ip=203.0.113.55 common_password_attempts=125,web-portal,1786730578.7729528
cred_stuffing,credential_stuffing multiple_usernames=25 attempts=125 source_ip=203.0.113.55 common_password_attempts=125,web-portal,1786730578.038854
cryptomining,xmrig stratum+tcp://pool.minexmr.com:4444 connected cpu_usage=98pct,web-portal,1786730577.2634473
cryptomining,xmrig stratum+tcp://pool.minexmr.com:4444 connected cpu_usage=98pct,web-portal,1786730576.6833735
cryptomining,xmrig stratum+tcp://pool.minexmr.com:4444 connected cpu_usage=98pct,web-portal,1786730576.0438466
cryptomining,xmrig stratum+tcp://pool.minexmr.com:4444 connected cpu_usage=98pct,web-portal,1786730575.2887146
cryptomining,xmrig stratum+tcp://pool.minexmr.com:4444 connected cpu_usage=98pct,web-portal,1786730574.4136667
data_exfil,bytes_sent=8388608 method=GET path=/accounts/history source_ip=10.9.8.77,web-portal,1786730573.7132905
data_exfil,bytes_sent=8388608 method=GET path=/accounts/history source_ip=10.9.8.77,web-portal,1786730573.0830657
data_exfil,bytes_sent=8388608 method=GET path=/accounts/history source_ip=10.9.8.77,web-portal,1786730572.3377132
data_exfil,bytes_sent=8388608 method=GET path=/accounts/history source_ip=10.9.8.77,web-portal,1786730571.6331801
data_exfil,bytes_sent=8388608 method=GET path=/accounts/history source_ip=10.9.8.77,web-portal,1786730570.95318
port_scan,nmap syn scan detected source_ip=10.9.8.99 ports_tried=1024 target=api-gateway,web-portal,1786730570.0548737
port_scan,nmap syn scan detected source_ip=10.9.8.99 ports_tried=1024 target=api-gateway,web-portal,1786730569.193019
port_scan,nmap syn scan detected source_ip=10.9.8.99 ports_tried=1024 target=api-gateway,web-portal,1786730568.4090157
port_scan,nmap syn scan detected source_ip=10.9.8.99 ports_tried=1024 target=api-gateway,web-portal,1786730567.7434888
port_scan,nmap syn scan detected source_ip=10.9.8.99 ports_tried=1024 target=api-gateway,web-portal,1786730566.9373832
inject_brute_force,brute_force_detected account_locked source_ip=10.9.8.55 attempts=20,api-gateway,1786730566.176945
inject_brute_force,jwt_verification_failed reason=invalid_jwt attempt=20 username=testuser01 source_ip=10.9.8.55,api-gateway,1786730566.1607187
inject_brute_force,jwt_verification_failed reason=invalid_jwt attempt=19 username=testuser01 source_ip=10.9.8.55,api-gateway,1786730566.0727718
inject_brute_force,jwt_verification_failed reason=invalid_jwt attempt=18 username=testuser01 source_ip=10.9.8.55,api-gateway,1786730566.0570889
inject_brute_force,jwt_verification_failed reason=invalid_jwt attempt=17 username=testuser01 source_ip=10.9.8.55,api-gateway,1786730565.9643996
inject_brute_force,jwt_verification_failed reason=invalid_jwt attempt=16 username=testuser01 source_ip=10.9.8.55,api-gateway,1786730565.8725114
inject_brute_force,jwt_verification_failed reason=invalid_jwt attempt=15 username=testuser01 source_ip=10.9.8.55,api-gateway,1786730565.7723372
inject_brute_force,jwt_verification_failed reason=invalid_jwt attempt=14 username=testuser01 source_ip=10.9.8.55,api-gateway,1786730565.7570348
inject_brute_force,jwt_verification_failed reason=invalid_jwt attempt=13 username=testuser01 source_ip=10.9.8.55,api-gateway,1786730565.6650648
inject_brute_force,jwt_verification_failed reason=invalid_jwt attempt=12 username=testuser01 source_ip=10.9.8.55,api-gateway,1786730565.577506
inject_brute_force,jwt_verification_failed reason=invalid_jwt attempt=11 username=testuser01 source_ip=10.9.8.55,api-gateway,1786730565.5618944
inject_brute_force,jwt_verification_failed reason=invalid_jwt attempt=10 username=testuser01 source_ip=10.9.8.55,api-gateway,1786730565.4739478
inject_brute_force,jwt_verification_failed reason=invalid_jwt attempt=9 username=testuser01 source_ip=10.9.8.55,api-gateway,1786730565.4583414
inject_brute_force,jwt_verification_failed reason=invalid_jwt attempt=8 username=testuser01 source_ip=10.9.8.55,api-gateway,1786730565.3650665
inject_brute_force,jwt_verification_failed reason=invalid_jwt attempt=7 username=testuser01 source_ip=10.9.8.55,api-gateway,1786730565.2771425
inject_brute_force,jwt_verification_failed reason=invalid_jwt attempt=6 username=testuser01 source_ip=10.9.8.55,api-gateway,1786730565.2614498
inject_brute_force,jwt_verification_failed reason=invalid_jwt attempt=5 username=testuser01 source_ip=10.9.8.55,api-gateway,1786730565.168489
